"status","AuctionType:","Case#:","FinalJudgmentAmount:","ParcelID:","ParcelLink","PropertyAddress:","address2","PlaintiffMaxBid:","AssessedValue:"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2014-008542-CA-01","$889,920.63","Property Appraiser","http://www.miamidade.gov/propertysearch/#/?folio=","7790 SW 127 ST","PINECREST , FL- 33156`","Hidden",
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2014-009791-CA-01","$787,601.37","30-4909-006-0780","http://www.miamidade.gov/propertysearch/#/?folio=3049090060780","15641 SW 21 TER","MIAMI, FL- 33185","Hidden","$250,359.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2014-013607-CA-01","$383,496.21","28-1235-047-0580","http://www.miamidade.gov/propertysearch/#/?folio=2812350470580","3610 YACHT CLUB DR 1105","AVENTURA, FL- 33180","Hidden","$254,152.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2015-010181-CA-01","$324,740.29","30-3055-023-0220","http://www.miamidade.gov/propertysearch/#/?folio=3030550230220","10221 FONTAINEBLEAU BLVD 204","MIAMI, FL- 33172","Hidden","$118,884.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2016-000987-CA-01","$558,502.78","28-1235-028-0380","http://www.miamidade.gov/propertysearch/#/?folio=2812350280380","20191 E COUNTRY CLUB DR 1502","MIAMI, FL- 33180","Hidden","$263,187.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2016-012632-CA-01","$483,020.57","30-6019-013-3010","http://www.miamidade.gov/propertysearch/#/?folio=3060190133010","11219 SW 236 LN","MIAMI, FL- 33032","Hidden","$129,752.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2016-018294-CA-01","$556,737.24","36-6016-015-1850","http://www.miamidade.gov/propertysearch/#/?folio=3660160151850","9450 SW 227 TER","MIAMI, FL- 33190","$352,000.00","$187,342.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2016-019557-CA-01","$349,924.72","31-2211-070-2350","http://www.miamidade.gov/propertysearch/#/?folio=3122110702350","17150 N BAY RD 2510","SUNNY ISLES BEACH, FL- 33160","$226,100.00","$285,655.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2016-019591-CA-01","$518,610.29","05-3119-010-3350","http://www.miamidade.gov/propertysearch/#/?folio=0531190103350","500 MINOLA DR","MIAMI SPRINGS, FL- 33166","$286,126.37","$290,167.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2016-021802-CA-01","$2,355,147.34","30-4035-004-0080","http://www.miamidade.gov/propertysearch/#/?folio=3040350040080","7400 SW 72 CT","MIAMI, FL- 33143","$2,355,147.34","$1,979,135.00"
"Canceled per Order","FORECLOSURE"," 2013-006551-CA-01","$255,341.96","01-3133-014-4490","http://www.miamidade.gov/propertysearch/#/?folio=0131330144490","3430 NW 16 ST","MIAMI, FL- 33125","Hidden","$193,394.00"
"Canceled per Order","FORECLOSURE"," 2013-018173-CA-01","$289,361.39","01-4103-031-0060","http://www.miamidade.gov/propertysearch/#/?folio=0141030310060","612 NW 23 CT","MIAMI, FL- 33125","Hidden","$284,965.00"
"Canceled per Order","FORECLOSURE"," 2014-010344-CA-01","$805,855.89","02-3214-006-0480","http://www.miamidade.gov/propertysearch/#/?folio=0232140060480","5055 COLLINS AVE 4N","MIAMI BEACH, FL- 33140","Hidden","$352,405.00"
"Canceled per Order","FORECLOSURE"," 2014-022481-CA-01","$4,676,614.29","MULTIPLE PARCEL","http://www.miamidade.gov/propertysearch/#/?folio=MULTIPLE%20PARCEL",,,"Hidden",
"Canceled per Bankruptcy","FORECLOSURE"," 2014-028051-CA-01","$277,088.79","30-5006-016-0210","http://www.miamidade.gov/propertysearch/#/?folio=3050060160210","11607 SW 90 TER","MIAMI, FL- 33176","Hidden","$141,358.00"
"Canceled per County","FORECLOSURE"," 2016-004328-CA-01","$357,748.46","30-4926-049-0220","http://www.miamidade.gov/propertysearch/#/?folio=3049260490220","6453 SW 132 COURT CIR","MIAMI, FL- 33183","Hidden","$76,359.00"
"Canceled per Order","FORECLOSURE"," 2017-010151-CA-01","$688,069.86","30-4914-012-0690","http://www.miamidade.gov/propertysearch/#/?folio=3049140120690","4199 SW 136 AVE","MIAMI, FL- 33175","Hidden","$325,470.00"
"Canceled per Order","FORECLOSURE"," 2017-016377-CA-01","$160,824.38","36-6005-091-0070","http://www.miamidade.gov/propertysearch/#/?folio=3660050910070","19344 SW 103 CT 7-10","CUTLER BAY, FL- 33157","Hidden","$105,000.00"
